CITYGEONAME,LATITUDE,LONGITUDE,USERS
Haparanda,65.891790,24.009370,14
Mosjøen,65.880020,13.342910,77
Kalix,65.877300,23.126830,20
Kalix,65.872320,23.119280,17
Mosjøen,65.868410,13.192720,86
Råneå,65.857000,22.300400,16
Haparanda,65.855880,24.064540,46
Tornio,65.855500,24.189370,26
Mosjøen,65.852207,13.233898,209
Mosjøen,65.850390,13.200500,48
Kalix,65.849998,23.133301,125
Boden,65.846370,21.700810,13
Miukki-Palosaari-Luotomäki,65.840420,24.181760,18
Boden,65.838120,21.627650,14
Mosjøen,65.838110,13.208940,80
Haparanda,65.837930,24.134120,16
Mosjøen,65.835780,13.194470,51
Boden,65.833298,21.700001,549
Boden,65.828212,21.664435,29
Mosjøen,65.827440,13.217420,58
Risögrund,65.826970,23.266430,12
Boden,65.826160,21.683300,58
Haparanda,65.825430,24.034370,31
Boden,65.823750,21.672280,15
Mosjøen,65.822610,13.226560,52
Boden,65.822230,21.694250,16
Boden,65.820800,21.676020,43
Kirkonmäki,65.819420,24.171570,20
Boden,65.817630,21.695790,30
Boden,65.816910,21.669260,63
Boden,65.812880,21.605950,14
Mosjøen,65.800290,13.268000,50
Kalix,65.794010,23.116650,13
Lassila-Jokisuu,65.791690,24.499020,12
Boden,65.773180,21.721780,12
Torvinen-Vainio,65.765070,24.551930,12
Boden,65.760250,21.743610,18
Diomede,65.757800,-168.951700,28
Sauðárkrókur,65.741950,-19.645570,27
Kemi,65.736160,24.556750,49
Takajärvi-Haukkari,65.730110,24.615340,70
Boden,65.730060,21.649450,12
Vevelstad,65.713140,12.463290,12
Akureyri,65.689740,-18.131670,271
Älvsbyn,65.688300,20.978900,17
Akureyri,65.683170,-18.107050,28
Vega,65.678010,11.956180,14
Akureyri,65.676060,-18.102400,944
Älvsbyn,65.672200,21.001040,23
Södra Sunderbyn,65.661480,21.939270,118
Luleå,65.658390,22.106000,15
Södra Sunderbyn,65.652940,21.956420,31
Gammelstad,65.646840,21.998280,64
Gammelstad,65.633301,22.016701,138
Luleå,65.624440,22.142840,16
Luleå,65.622270,22.146500,11
Luleå,65.619760,22.177710,17
Luleå,65.618100,22.129540,53
Luleå,65.615470,22.186070,46
Luleå,65.615420,22.173940,31
Luleå,65.610890,22.102260,11
Luleå,65.603310,22.181150,35
Luleå,65.603090,22.120820,28
Luleå,65.599560,22.162760,24
Luleå,65.599250,22.125370,41
Luleå,65.598852,22.146515,639
Luleå,65.596500,22.156910,17
Luleå,65.593990,22.247140,124
Hattfjelldal,65.593390,13.998510,51
Luleå,65.591090,22.164730,24
Luleå,65.589340,22.240290,14
Luleå,65.587330,22.209980,14
Luleå,65.586890,22.186330,12
Luleå,65.586010,22.255740,23
Luleå,65.585330,22.200480,31
Luleå,65.585050,22.134550,14
Luleå,65.582210,22.140920,22
Luleå,65.581050,22.161810,16
Luleå,65.579240,22.136140,13
Luleå,65.576360,22.272960,31
Luleå,65.575700,22.209730,17
Luleå,65.570320,22.114650,13
Luleå,65.563230,22.194970,30
Luleå,65.560260,21.828820,15
Sorsele,65.533302,17.500000,38
Luleå,65.532230,21.849320,22
Trofors,65.515410,13.408920,39
Brønnøysund,65.489360,12.238000,109
Brønnøysund,65.486870,12.361970,34
Brønnøysund,65.475360,12.220690,67
Brønnøysund,65.472130,12.212890,256
Brønnøysund,65.468810,12.170300,70
Brønnøysund,65.462520,12.199480,55
Lillpite,65.442470,20.953240,21
Maniitsoq,65.428520,-52.925060,47
Rosvik,65.426620,21.683500,33
Velfjord,65.398810,12.562080,12
Piteå,65.386880,21.314010,30
Adak,65.368550,18.552170,16
Roknäs,65.341720,21.244370,22
Roknäs,65.336650,21.176760,43
Öjebyn,65.329180,21.410980,42
Piteå,65.328740,21.480840,27
Sømna,65.328360,12.185240,89
Piteå,65.326410,21.452990,84
Piteå,65.324920,21.470500,19
Ii,65.321850,25.353750,46
Piteå,65.321570,21.479610,23
Piteå,65.320730,21.457280,11
Piteå,65.320310,21.465700,20
Piteå,65.317470,21.475110,83
